position,column_name,data_type,category,nullable,null_count,valid_values_or_range,description
1,schedule_date,String,Schedule & Game Info,No,0,2741 distinct values,"Game date in ISO format YYYY-MM-DD (e.g., 1966-09-02)."
2,schedule_season,Integer,Schedule & Game Info,No,0,1966 to 2025,"NFL season year the game belongs to (e.g., 2024)."
3,schedule_week_str,String,Schedule & Game Info,No,0,22 distinct values,"Week label: regular-season week number (""1""-""18"") or playoff round (""Wildcard"",""Division"",""Conference"",""Superbowl""). Stored as text."
4,schedule_playoff,Boolean,Schedule & Game Info,No,0,True / False,TRUE if the game is a postseason (playoff) game.
5,team_home,String,Teams & Scores,No,0,44 distinct values,Full home team name as it was known that season.
6,home_team_id,String,Teams & Scores,No,0,32 distinct values,"2-or-3-letter franchise ID for the home team (e.g., ""KC"",""SF""). Stable across relocations and name changes."
7,score_home,Integer,Teams & Scores,No,0,0 to 72,Home team final score.
8,team_away,String,Teams & Scores,No,0,44 distinct values,Full away team name as it was known that season.
9,away_team_id,String,Teams & Scores,No,0,32 distinct values,2-or-3-letter franchise ID for the away team. Stable across relocations and name changes.
10,score_away,Integer,Teams & Scores,No,0,0 to 62,Away team final score.
11,team_winner_id,String,Teams & Scores,No,0,33 distinct values,"Franchise ID of the winning team; the literal ""TIE"" for tied games (no nulls)."
12,team_favorite_id,String,Betting Lines,Yes,5,33 distinct values,"Franchise ID of the betting favorite; ""PICK"" for pick'em games with no favorite. Blank for 5 games with no recorded line."
13,spread_favorite,Float,Betting Lines,Yes,5,-28 to 0,Closing point spread for the favorite. Always <= 0 (negative = favored by that many points); -7 means the favorite is a 7-point favorite. 0 for pick'em games.
14,favorite_spread_outcome,String,Betting Lines,Yes,200,Cover; No Cover; Push,"Spread result from the favorite's perspective: ""Cover"",""No Cover"", or ""Push"". Blank for pick'em games (no favorite) and games with no line."
15,spread_outcome,String,Betting Lines,Yes,5,Favorite; Push; Underdog,"""Favorite"" if the favorite covered, ""Underdog"" if it did not, or ""Push""."
16,team_underdog_id,String,Betting Lines,Yes,5,33 distinct values,"Franchise ID of the betting underdog; ""PICK"" for pick'em games with no favorite. Blank for games with no recorded line."
17,over_under_line,Float,Betting Lines,Yes,2527,28 to 63.5,Posted total-points line (over/under). Blank before ~1979 when totals were not published.
18,ou_outcome,String,Betting Lines,Yes,2527,Over; Push; Under,"Total result vs. the line: ""Over"",""Under"", or ""Push"". Blank when no line exists."
19,score_total,Integer,Betting Lines,No,0,3 to 113,Actual combined final score (score_home + score_away).
20,margin_of_victory,Integer,Teams & Scores,No,0,0 to 59,"Absolute scoring margin, |score_home - score_away|. 0 for ties."
21,stadium,String,Schedule & Game Info,No,0,130 distinct values,Stadium name where the game was played.
22,stadium_neutral,Boolean,Schedule & Game Info,No,0,True / False,"TRUE if played at a neutral site (e.g., Super Bowl, international game)."
23,weather_temperature,Float,Weather,Yes,490,-9 to 97,Game-time temperature in degrees F. Set to 72 for dome/indoor games. Blank where unknown.
24,weather_wind_mph,Float,Weather,Yes,507,0 to 40,Wind speed in mph. Set to 0 for dome/indoor games. Blank where unknown.
25,weather_humidity,Float,Weather,Yes,5653,4 to 100,Relative humidity percentage (4-100). Frequently blank due to missing source data.
26,weather_detail,String,Weather,Yes,10981,fog; freezing rain; indoor; rain; rain | fog; retractable (open roof); retractable roof (closed); snow; snow | fog; snow | freezing rain; snow | freezing rain | rain | fog; snow | rain | fog,"Condition text, e.g. ""indoor"",""rain"",""snow"",""fog"",""snow | fog"",""retractable (open roof)"". Blank when no notable condition recorded."
27,indoor_game,Boolean,Weather,No,0,True / False,TRUE if played indoors / under a dome (or closed retractable roof).
28,temp_bucket,String,Weather,No,0,Chilly; Comfortable; Cool; Freezing; Hot; Mild; Unknown; Warm,"Temperature band: Hot, Warm, Comfortable, Mild, Cool, Chilly, Freezing, or Unknown (no temperature data)."
29,high_wind,Boolean,Weather,No,0,True / False,TRUE if wind speed is 15 mph or higher.
30,rain_flag,Boolean,Weather,No,0,True / False,TRUE if rain was recorded for the game.
31,snow_flag,Boolean,Weather,No,0,True / False,TRUE if snow was recorded for the game.
32,weather_impact,Integer,Weather,No,0,0 to 2,"Count of extreme weather/wind impact factors present (0, 1, or 2)."
33,home_rest_days,Float,Rest & Situational,Yes,884,4 to 66,Days since the home team last played. Blank for each team's first game of a season.
34,away_rest_days,Float,Rest & Situational,Yes,886,4 to 66,Days since the away team last played. Blank for each team's first game of a season.
35,home_bye_flag,Boolean,Rest & Situational,No,0,True / False,TRUE if the home team is coming off a bye week (did not play the prior week).
36,away_bye_flag,Boolean,Rest & Situational,No,0,True / False,TRUE if the away team is coming off a bye week (did not play the prior week).
37,score_diff,Integer,Teams & Scores,No,0,-55 to 59,Signed scoring margin from the home perspective: score_home - score_away.
38,home_win,Boolean,Teams & Scores,No,0,True / False,TRUE if the home team won.
39,away_win,Boolean,Teams & Scores,No,0,True / False,TRUE if the away team won.
40,tie,Boolean,Teams & Scores,No,0,True / False,TRUE if the game ended in a tie.
41,spread_home,Float,Betting Lines,Yes,5,-27 to 28,"Point spread from the HOME team's perspective (negative = home favored, positive = home underdog). This is a betting line, NOT a score difference. Float."
42,spread_away,Float,Betting Lines,Yes,5,-28 to 27,"Point spread from the AWAY team's perspective (negative = away favored, positive = away underdog). Mirror of spread_home. Float."
43,home_spread_outcome,String,Betting Lines,Yes,5,Cover; No Cover; Push,"Spread result from the home team's perspective: ""Cover"",""No Cover"", or ""Push""."
44,away_spread_outcome,String,Betting Lines,Yes,5,Cover; No Cover; Push,"Spread result from the away team's perspective: ""Cover"",""No Cover"", or ""Push""."
