canonical_table,canonical_field,primary_source,provider_field_or_json_path,normalization,known_at_rule,required,notes
games,spreadspoke_game_key,Spreadspoke,schedule_date + team_home + team_away,stable composite key,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,season,Spreadspoke,schedule_season,integer,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,week_raw,Spreadspoke,schedule_week_str,preserve raw string,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,playoff,Spreadspoke,schedule_playoff,boolean,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,home_team_id,Spreadspoke,team_home,canonical franchise alias,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,away_team_id,Spreadspoke,team_away,canonical franchise alias,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,home_score,Spreadspoke,score_home,numeric,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,away_score,Spreadspoke,score_away,numeric,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,favorite_id_reference,Spreadspoke,team_favorite_id,canonical provider alias,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,favorite_spread_reference,Spreadspoke,spread_favorite,favorite-negative convention,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,home_spread_reference,Spreadspoke,team_favorite_id + spread_favorite,convert to home-team sportsbook sign,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,total_line_reference,Spreadspoke,over_under_line,numeric,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,stadium_name_reference,Spreadspoke,stadium,trim string,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,neutral_site_reference,Spreadspoke,stadium_neutral,boolean,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,observed_temperature_f_reference,Spreadspoke,weather_temperature,numeric,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,observed_wind_mph_reference,Spreadspoke,weather_wind_mph,numeric,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,observed_humidity_reference,Spreadspoke,weather_humidity,numeric,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,weather_detail_reference,Spreadspoke,weather_detail,preserve text,result/reference only; line publication timestamp unknown,yes,Never use reference line as a prediction-horizon snapshot.
games,game_id,nflverse schedules,game_id,preserve,schedule fields as published; scores/starter/observed weather only after game,yes,
games,season,nflverse schedules,season,integer,schedule fields as published; scores/starter/observed weather only after game,yes,
