model_number,column,model_name,threshold_or_adjustment,actual_logic,source_formula_normalized,cached_example_value
1,K,Model 1,,Midpoint of Yahoo and FiveThirtyEight.,"if(round((D38+E38)/2,2)=0.5,0.5,if(round((D38+E38)/2,2)>0.5,round((D38+E38)/2,2),1-K39))",0.61
2,L,Model 2,,Midpoint of FiveThirtyEight and 50%.,"if(round((E38+0.5)/2,2)=0.5,0.5,if(round((E38+0.5)/2,2)>0.5,round((E38+0.5)/2,2),1-L39))",0.45
3,M,Model 3,,"When Yahoo and FiveThirtyEight disagree on the favorite, use 50%; otherwise use FiveThirtyEight.","if(round(if(istext(G38),E38,0.5),2)=0.5,0.5,(if(round(if(istext(G38),E38,0.5),2)>0.5,round(if(ISTEXT(G38),E38,0.5),2),1-M39)))",0.5
4,N,Model 4,,"When Yahoo and FiveThirtyEight disagree, mirror FiveThirtyEight; otherwise use FiveThirtyEight.","if(round(if(istext(G38),E38,1-E38),2)=0.5,0.5,if(round(if(istext(G38),E38,1-E38),2)>0.5,round(if(ISTEXT(G38),E38,1-E38),2),1-N39))",0.6
5,O,Model 5,,Increase FiveThirtyEight favorite probability by 5% multiplicatively.,"if($E38=0.5,0.5,if(round(if($E38>0.5,min($E38*1.05,1),$E38*0.95),2)=0.5,0.5,if(round(if($E38>0.5,min($E38*1.05,1),$E38*0.95),2)>0.5,round(if($E38>0.5,min($E38*1.05,1),$E38*0.95),2),1-O39)))",0.37
6,P,Model 6,,Increase FiveThirtyEight favorite probability by 10% multiplicatively.,"if($E38=0.5,0.5,if(round(if($E38>0.5,min($E38*1.1,1),$E38*0.9),2)=0.5,0.5,if(round(if($E38>0.5,min($E38*1.1,1),$E38*0.9),2)>0.5,round(if($E38>0.5,min($E38*1.1,1),$E38*0.9),2),1-P39)))",0.34
7,Q,Model 7,,Increase FiveThirtyEight favorite probability by 20% multiplicatively.,"if($E38=0.5,0.5,if(round(if($E38>0.5,min($E38*1.2,1),$E38*0.8),2)=0.5,0.5,if(round(if($E38>0.5,min($E38*1.2,1),$E38*0.8),2)>0.5,round(if($E38>0.5,min($E38*1.2,1),$E38*0.8),2),1-Q39)))",0.28
8,R,Model 8,,Increase FiveThirtyEight favorite probability by 30% multiplicatively.,"if($E38=0.5,0.5,if(round(if($E38>0.5,min($E38*1.3,1),$E38*0.7),2)=0.5,0.5,if(round(if($E38>0.5,min($E38*1.3,1),$E38*0.7),2)>0.5,round(if($E38>0.5,min($E38*1.3,1),$E38*0.7),2),1-R39)))",0.22
9,S,Model 9,,Increase FiveThirtyEight favorite probability by 40% multiplicatively.,"if($E38=0.5,0.5,if(round(if($E38>0.5,min($E38*1.4,1),$E38*0.6),2)=0.5,0.5,if(round(if($E38>0.5,min($E38*1.4,1),$E38*0.6),2)>0.5,round(if($E38>0.5,min($E38*1.4,1),$E38*0.6),2),1-S39)))",0.16
10,T,Model 10,,Increase FiveThirtyEight favorite probability by 50% multiplicatively.,"if($E38=0.5,0.5,if(round(if($E38>0.5,min($E38*1.5,1),$E38*0.5),2)=0.5,0.5,if(round(if($E38>0.5,min($E38*1.5,1),$E38*0.5),2)>0.5,round(if($E38>0.5,min($E38*1.5,1),$E38*0.5),2),1-T39)))",0.1
11,U,Model 11,,Convert FiveThirtyEight to a hard 0/1 pick.,"if($E38=0.5,0.5,if($E38>0.5,1,0))",0.0
12,V,Model 12,0.85,Use 100% when FiveThirtyEight favorite probability exceeds 0.85; otherwise FiveThirtyEight.,"if($E38=0.5,0.5,if($E38>$E$16,1,if($E38>0.5,$E38,1-V39)))",0.4
13,W,Model 13,0.86,Use 100% when FiveThirtyEight favorite probability exceeds 0.86; otherwise FiveThirtyEight.,"if($E38=0.5,0.5,if($E38>$E$17,1,if($E38>0.5,$E38,1-W39)))",0.4
