game_id,season,week,matchup,model_spread,predicted_home_margin,closing_or_reference_line,total_line,market_source,market,readiness_status,calibrated_probability,model_probability,market_fair_probability,push_probability,tie_probability,p_cover,p_over,offered_decimal,penalized_edge,full_kelly_fraction,recommended_stake,should_bet,no_bet_reason
placeholder_2026_1_DET_GB,2026,1,GB @ DET,-1.5,1.5,-1.5,49.5,PLACEHOLDER-2026-SCHEDULE,ats,RETAIN_BASELINE,0.5,0.5,0.5,0.0,0.029362796270878788,0.5,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
placeholder_2026_1_DET_GB,2026,1,GB @ DET,-1.5,1.5,-1.5,49.5,PLACEHOLDER-2026-SCHEDULE,moneyline,RETAIN_BASELINE,0.529524277767397,0.529524277767397,0.529524277767397,0.0,0.029362796270878788,0.5,0.5,1.909,0.0,0.011949225806337544,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum
placeholder_2026_1_DET_GB,2026,1,GB @ DET,-1.5,1.5,-1.5,49.5,PLACEHOLDER-2026-SCHEDULE,total,RETAIN_BASELINE,0.5,0.5,0.5,0.0,0.029362796270878788,0.5,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
placeholder_2026_1_KC_BAL,2026,1,BAL @ KC,-2.5,2.5,-2.5,47.5,PLACEHOLDER-2026-SCHEDULE,ats,RETAIN_BASELINE,0.5,0.5,0.5,0.0,0.029042478090781698,0.5,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
placeholder_2026_1_KC_BAL,2026,1,BAL @ KC,-2.5,2.5,-2.5,47.5,PLACEHOLDER-2026-SCHEDULE,moneyline,RETAIN_BASELINE,0.5588870740382756,0.5588870740382756,0.5588870740382756,0.0,0.029042478090781698,0.5,0.5,1.909,0.0,0.07361432820579568,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum
placeholder_2026_1_KC_BAL,2026,1,BAL @ KC,-2.5,2.5,-2.5,47.5,PLACEHOLDER-2026-SCHEDULE,total,RETAIN_BASELINE,0.5,0.5,0.5,0.0,0.029042478090781698,0.5,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
placeholder_2026_1_PHI_DAL,2026,1,DAL @ PHI,-3.0,3.0,-3.0,45.5,PLACEHOLDER-2026-SCHEDULE,ats,RETAIN_BASELINE,0.48522773735144586,0.48522773735144586,0.48522773735144586,0.029544525297108326,0.028824288646481344,0.48522773735144586,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
placeholder_2026_1_PHI_DAL,2026,1,DAL @ PHI,-3.0,3.0,-3.0,45.5,PLACEHOLDER-2026-SCHEDULE,moneyline,RETAIN_BASELINE,0.5734581056840342,0.5734581056840342,0.5734581056840342,0.0,0.028824288646481344,0.48522773735144586,0.5,1.909,0.0,0.10421509763566697,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum
placeholder_2026_1_PHI_DAL,2026,1,DAL @ PHI,-3.0,3.0,-3.0,45.5,PLACEHOLDER-2026-SCHEDULE,total,RETAIN_BASELINE,0.5,0.5,0.5,0.0,0.028824288646481344,0.48522773735144586,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
placeholder_2026_1_SF_LA,2026,1,LA @ SF,-6.5,6.5,-6.5,48.5,PLACEHOLDER-2026-SCHEDULE,ats,RETAIN_BASELINE,0.5,0.5,0.5,0.0,0.02631237180330831,0.5,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
placeholder_2026_1_SF_LA,2026,1,LA @ SF,-6.5,6.5,-6.5,48.5,PLACEHOLDER-2026-SCHEDULE,moneyline,RETAIN_BASELINE,0.6716393567181147,0.6716393567181147,0.6716393567181147,0.0,0.02631237180330831,0.5,0.5,1.909,0.0,0.31040652582495154,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum
placeholder_2026_1_SF_LA,2026,1,LA @ SF,-6.5,6.5,-6.5,48.5,PLACEHOLDER-2026-SCHEDULE,total,RETAIN_BASELINE,0.5,0.5,0.5,0.0,0.02631237180330831,0.5,0.5,1.909,0.0,0.0,0.0,False,no-bet: edge not established;no-bet: penalized edge below 2% minimum;no-bet: nonpositive Kelly fraction
